EFECTIVO;CXC;INVENTARIO;EQ_OFICINA;EQ_TRANSPORTE;TERRENOS_Y_CONSTRUCCIONES;CXP;CONTRIBUCIONES_X_PAGAR;ANTICIPOS_CTE;CAP_SOCIAL;UTILIDADES_ACUMULADAS;UTILIDAD_O_PERDIDA;TOTAL_VENTAS;TOTAL_COMPRAS;UTILIDAD_BRUTA;TOTAL_GASTOS;OBJETIVO
;7467694029999990;10358860.7;5055585119;960757225;8226437147000000;1250112639;2748840337;;30486908589999900;-4594941972;-1901850442;12612056.54;2850707693;2966227.45;7463603.74;1
6302608112;8303432771;372473085;1115902994;;;;1638031134;5363826228;6108226967;-7907901627;1092697064;16840928.58;1563491.07;2659886273;;1
3920712456;10424452.53;;8565172283;2050172016;7085220384;24648456.03;2016178088;4322440909;5778065583;;-1444813325;23730936.87;21806484.42;13068470.18;23206747.37;1
1350493187;;3043412176;;7154014777;-7408140216;2435784924;3674176881;4375903318;5398327621;2503812214;-2454034056;19650160.77;16190351.79;18877876519999900;35845968210000000;1
108326.87;1507658044;6188618987000000;8908502976;6562291617;;37027796610000000;;4252075877;;7910210858;-4483554.27;43611209.54;27762519.32;20402360880000000;37675875960000000;1
6381545341;1651658404;3444836479;;9284646305;5513841069;7166795775;2273711755;3657270318;1325238326;-8390453681;-22163624480000000;23478390.1;41219868.26;;;1
15225423669999900;22326838.0;26716450.79;;2358086116;4807866369;40094114.09;3351968671;27923916989999900;12801846.73;5500072624;;127826803.0;584032710.6;29918717.54;35415197.19;1
1623087494;12223659.84;;9673154439;31946473619999900;-4495581196;3838984545;;2806441253;1276132335;12176468.66;-13348031570000000;93947183.13;33681372.22;2455832901;6606397937999990;1
1540789747;6935339237999990;5800055415;3348538995;416547172;3689456.19;2313614727;41831753260000000;;;-14750568.43;-1227102165;2345522749;13864125.66;7049740069;1900446031;1
2109291976;;21255275.99;19393360.37;;-4375226522;79192738.58;;4333676313;9662825290000000;19666715.49;-6047980587;408645285.7;177643744.8;88849733.85;;1
1495716504;2583913579;10263712.45;3339525495;2335467406;6061448029;7073880759;;14164170280000000;10661237.49;-8411531603;;28785716.68;4408067869;;12765246.07;1
3207801165;11707031.86;9124352431;2407723563;575984634;6268167602999990;15991320.64;2141054584;2296140108;6159339321;-4227571214;3219476174;53660460.59;;26878171.05;42358541.79;1
2042486611;6048662328;15175492019999900;5000280912;;2539351965;;3002541955;3132443973;;-10101761.21;9620934619;39510421.8;31114821.02;13921922.18;26866860.53;1
4185801319;21527126.29;;;15954791809999900;7055964997;49820391.5;2336638759;2817300039;1281395614;13219329.69;-4199132952;277787232.5;87067750.73;19136937.45;20346756.79;1
4751041931;12172000.22;;3607021233;39313205560000000;4363683276000000;16847589.68;782680289;27225888419999900;;-1014287156;-9511333015;126426466.7;59072165.42;22893246.38;;1
5645766242;22642699.18;24852451.04;;1468341351;;32793538.18;3918767045;;3347873577;13752335.21;-6689238175;151538426.7;502901324.8;18025546.65;13528973.74;1
1243560074;25943453.42;7414540304;21432194159999900;5017989532;;51411320.06;;1011564995;8890777454;7891550797;-4324234821;91707505.53;48109420.27;22312975.98;20361992.71;1
2915003.4;12881856.87;2777835248;9286356562;1003492729;-7681321837;11898313.29;3241710132;5106183891;4588227884;5566620556;-8583686963;;37746632.01;;;1
7124844015;11334749.28;8463922942;2316947219;21285139790000000;-1780099959;11947425.88;869741043;;4423991.3;;9765214523;144923108.8;70182861389999900;15026498.4;14243499.55;1
5096438496;10955794.87;4264590395;;5680528785;2016615399;18265802.77;1885278309;2267355069;39637847610000000;5389734783;-1945060564;64049320.48;;6367306555;;1
2319500035;4193129.72;2030844667;5036794445;3729439784;-6388174379;6152195011;1418816986;4381746545;13487009319999900;10167200.53;;;2013202506;27329849910000000;34375156319999900;1
1766266927;32241323.29;;6811176651;;-4975220483;;;33315984289999900;5591945498;13991627.52;-25346231780000000;123442551.6;97607364.88;18367823.86;20111313.9;1
1019034014;18391721.38;64512418.19;3310127436;10107550290000000;8603895926;;;;1276265982;12361811.88;-8242819632999990;245077589.1;211356776.6;11568319.16;10078578.06;1
3060425.57;79062817.64;23785778.3;1896766481;1637435148;-5208971494;77727167.94;1657540259;3922156267;8771629912999990;;-5112025848;276886255.7;746420794.8;33424275.37;47472525.12;1
7065328661;9760618885;;5544693473;2156578356;5028004703;26586054.83;2459596917;31637880360000000;5129799379;901202993;-1681066131;122100501.8;136550993.8;26102636.17;19166818.25;1
3470099143;;21301585.78;3180572019;2854710852;;;4122064661;;9703065325;;8201131939;357878557.9;102103596.4;58751879.19;70808464.74;1
5849753756;22270469.47;28672717610000000;;13943735869999900;;10917743.3;4732212765;5143626653;1099425207;10786866.32;-2626912387;44879259.38;102045153.9;9172238897;;1
5323834668;10475628.16;;9646291365;5815560229999990;;7330902869;3340648721;4319943595;1980884044;1470097176;;29531406.21;39363118.72;18653853.77;18269321.8;1
1650295781;14098983.6;8259477613;3170067665;4287535424;4724235.92;23294277.05;2348072318;40708218260000000;8338519098999990;1194462448;9184750523;190564505.6;;;;1
30925151939999900;;32664884.64;;1088615476;1696407261;102578446.8;1658412858;10141101.16;;12392927.4;-3950013417;208188652.2;295074562.9;58639848.79;39682854.29;1
3284617.82;1157417578;5188999284;4971799887;1268711206;-11401873.38;2216905235;1461371967;;;5036649494;1207952707;53182890.63;1398491811;5813009951;6696991614;1
6238972312000000;88589498.7;25268303.48;12297744.46;5657226257;-4380766633;;;4143281459;6232231741;14294985.41;-7631692021;465601517.6;1031129865.0;105125578.9;;1
7335282473;14640524.55;16719713.73;5040587628;2063480358;5972632.07;26117708.94;2221959635;;9131227057;;6358964246;119811806.8;93294129.88;50081070.37;39868739.38;1
;1126682522;3312484916;9608521457000000;1260890354;6858110035;3522813749;6490626797000000;;4140545845;;728658358;14306337.64;6152983272999990;7639187107000000;3383474876;1
2741392829;4171549083;28134081139999900;1241380787;1112251064;-2577196994;5245075681;1587709756;;2616790624;-27371160889999900;3430280727;46521766.14;16724428.22;;8774264295;1
;4467347614;7199338728;;1080163172;-6750832857999990;79824589860000000;1708875473;9774539415;1759189261;6577083668;-3594910.17;51870198.45;;;1155647303;1
1631363184;3135272298;2431903492;8274880454;8448784548;6323700376;5982067058999990;1615839426;2213579078;9544999556;-3875038827;-1455515604;32060138.68;14034307.5;11460875.66;12282917.55;1
5991602855;10037635.18;1688342612;14355907759999900;2883434826;47322129569999900;;1433629407;;;6428725937000000;-38367951489999900;36815569.27;19574253.02;;9009414143;1
;1522392919;8439046658;1173755718;620748796;8079312567000000;71054600879999900;1164958138;3504873252;20040596230000000;-7752790376;-1611549858;;27273241.61;12463658.36;10134914.67;1
;6298946805;1475154259;;3808622318;9000965462;36685346969999900;1302834074;2391287009;24143929869999900;2310181636;;131845687.1;;18852088.19;22435091.06;1
6953956794;37105596.89;51862419.31;1676756549;2073740241;5262272433;65066067.66;9592352955;8341231432999990;1010614.95;23847016.97;;328059982.7;405400479.8;23653369.65;;1
9121550792;5347412572;28294059.6;1331485877;36776363200000000;8803333096;8745603492;1662014723;19179192140000000;2266462932;-11933806.82;-5527267844;14003952.15;42267741.9;;4358418909;1
5430910621;22918010.5;5834804597;4288125123;5962363539;-7917524295;12650827.58;8165349217;2489765.62;15472740.98;1240350981;3560363792;26396399.03;18426600.89;7184348956;;1
4284264527;67222188.5;22720375.85;15996990.26;6566753602000000;-2932414.84;76829353.47;1149761446;5761786598999990;4946626359;19159813.48;-6399675534;471645997.7;763205611.7;74019120.05;55567351.42;1
8382853694;;6620020789;2659313606;28976897410000000;-8909487291000000;8380298906;1747420791;28627600360000000;;12498656.59;-4021449352;106517974.4;129105674.5;5254199054;5715174408;1
1882793086;54505357.93;;16113434.56;15099452230000000;5972997.4;64549624.55;8755484724;2718382642;;9879489799;-1769202507;190299899.1;87802165.24;34297476.96;42869493.91;1
1308453909;50722975.82;32119816.83;28123037460000000;3346092937;2589250171;70679106.12;7858458086;;4181010608;19061229.95;-2384854477;360489954.3;364810668.8;48899158.25;44044160.25;1
9640081291;8467196006000000;8769380405;;4219023627;-3187410452;10976143.92;1106344385;3528653821;;4549524.67;-3405894195;57735048.09;;9435905064;;1
8228812523;4832549633;7913688343;;8969898105;-4723967244;46327853719999900;2848196812;9674866194;3273387216;-16254877419999900;-8618963929999990;17556875.66;;;12618962.4;1
2270232196;;5055917408;2728862524;6378619828;-9986630704;14261202.7;6085555956;2748297.99;4862265617;;-4960426323;122535155.1;37376456.37;20577800.85;;1
;4269407928;1761094732;7334568064;1377474621;-14105012.21;3468412.49;2894432446;22972424359999900;40997894269999900;3869700756;-1885998839;;81387494.88;10050065.66;10200882.76;1
2456214954;2949318445;2098207493;1469016484;4450104272;;4137803131;1989523025;1698698462;2432738433;;-6448895763;;6211138574;1036459681;2481517805;1
244748968;3720849403;4055066.22;1389279935;;7797508.55;8048028512;781820211;6025069045;;2758752539;-1977719.07;37529333.31;8286515067000000;8402124172;;1
7911665772;2592349779;5665850243;2724781088;3385178943;;41386714869999900;7973568405;;4891287278;-6389151587;-1564173712;64595256.09;35143129.64;9254822955;6294458485;1
1916303326;2238738.47;1943840507;3184300204;2435132194;-9661633764;8570025159;56305062410000000;2276825.24;;32948726119999900;;138589187.0;8931730684;7781008837;6025030893999990;1
6747525671;2541322867;1385526375;2791351678;323323669;5899189.45;3201162703;6557108775;1316733675;1421828812;-6299910985;;15955318.68;15563727.01;;;1
8049026223;2699242.3;11759416090000000;1142642033;64437575410000000;5344081381;5332379065;4994272155;4700825615;5485500475;;6947501396;10046791.52;;24203860.79;18595328.91;1
7569581646;7968600874;;6407035321;6559502436;-8400610087000000;6585936187000000;1051574202;;4726438918;7824591953;;59124450.64;17371539.64;4803347028;8159472954;1
;;15417330.12;8382825046;19414627859999900;-5224933222;;6723762234;;;19174145.75;-1831603134;232182926.5;;22853223.16;;1
2928990562;5819495372;16494894.76;8656430091;4597808059;;13554981.03;1125650941;2508093244;3283902861;5925487498;-2942859144;62078793.39;26502869.1;;7972271556;1
19949148869999900;5978899406;1196310748;;8564978784;-13773588.69;4103860713;1786696027;;3311825.78;2260385545;-2242842552;21053554.27;;8670883759;53861009229999900;1
;5870089193;8316394011;40721460239999900;2665121.55;9707130431;21412935.72;3931423473;2274747163;1686650372;21465956580000000;-3544404917;;309672107.4;13733187.24;17766490.14;1
;14672351.36;16028192.41;219653598;2272803285;;18146052.1;5759924375;;4841284.51;14555435.45;-9895400337;234024496.6;;18246725.17;19188585.81;1
6288597218;24119893.93;14776381.65;3643148665;6402033185;4822903797;51545136.26;5300448517;6736454.4;2591388998;10872131.46;-6387189521000000;80068997.44;99814165.7;9609799.94;13448832.05;1
2367213099;8171328392000000;;1295958118;922921077;23261878030000000;16087752.88;3664591187;;2149624498;13026086.04;-3802506175;48528209.9;13119957.1;8101610223999990;7646892784;1
12359857.84;40133590.71;81999342.6;8361710467999990;;41460878910000000;;1023671896;23541825.02;80925236729999900;11676118.94;-7177420101;396091756.1;;25378906.29;29599521.56;1
;4720155339;1570941861;3159820244;3251913218;1734335969;3181497.63;4271284905;6876079202;3124398068;7450420902;-4521654098;9213403093;37610370.42;;59708893379999900;1
1265904959;65360074.02;14656272.1;18509807.42;3477834665;9002437707;89864361.3;;15741898169999900;1282225866;;-34448458910000000;307862358.3;749259351.7;56236482.7;54442712.66;1
2516943014;16590239640000000;5606625591;22841619100000000;3775270759;7740091602000000;;1018855791;5391509502000000;5987710297;-16489933.7;-9193182699;10228080.11;26857674.45;12396803.81;22513735.4;1
28954992989999900;;1386303756;2369235047;9882623329;-13331364.05;;1266466946;8688611759;2539350848;;-1782947091;54756115.6;71257035.95;7405899573;14239330.83;1
1288619207;43220351039999900;148609859;2178684734;4331592052;;6766213965;62714802789999900;5642320196;1864121661;-3241504635;-1006365573;31909083019999900;1911870775;3313285043;1212400173;1
3690345109;2952806211;;;;;4085025397;7744039572;22067839930000000;38857299799999900;-5099863406;-6100534586;;9149311148;1106136745;2535749919;1
3321030919;14442435.35;13438341.73;5101247257;2650942876;5891995128;21750203.61;;2284934619;2907047425;2784632189;3006522889;157395779.6;94767531.68;36974075.48;38760237.34;1
6071467774;36611893039999900;20934715659999900;2428621.36;;-1626319174;8027889379;2059650634;1045214813;4762548642;29723019489999900;-13561276630000000;;243960879.5;;15805938.31;1
2188140.14;102604128.3;51117239.29;;;-12202099679999900;;7858831395;10887873.5;1297721115;32872025.2;-4996840237;639961380.1;184670467.7;51786075.23;35865332.89;1
1878296061;3167071453;48310861.82;53196906310000000;43039555100000000;8380444927999990;15913644.31;;4950997871;1774411905;-4589637463;-7135965095;38379036.16;140023946.1;7124777429;5449074856000000;1
44847894569999900;;2822932477;19797701.19;2219076306;-11547185.63;25473814.23;3458136313;;1843669446;9499713634;636939128;122881438.8;46990021.26;34056143.23;;1
8152315.71;72576505.59;32215741.9;9877693099;29627323430000000;-4116123.25;68603626.27;1610559888;;3984259021;24913557.91;-2324496815;437593573.6;212234550.6;38427591.23;;1
1651737576;;10335325.51;9607005787;8747023953;1281407821;38028961.36;27571442600000000;19284363380000000;;6965292217999990;6424375435;149171083.7;26459743.8;27792604.29;27630664.22;1
2219071.44;7131499579;9000783037000000;3446594425;3513452.67;-13013410.77;1002560735;9448094234;1337697882;7706882801;13500214.28;-5105728851;68275694.45;;4543514973999990;7583622405;1
59026830870000000;;;;27528631419999900;-4323534848999990;6318848889;27900186889999900;17131077519999900;;-7263415.98;-2271899485;;8021387996;9457498470999990;3979023922;1
;14062979.51;6473263052;1048747118;5812288435;6368525635;18111659.22;9373789901000000;2636670482;3809353822;2380335714;-2118903966;38094117.28;49700002.41;22971649.79;24050654.49;1
9968186924;4541938852;3453364901;482496821;;1431092362;9640449631000000;6570894372000000;1451047.22;22933181780000000;-5754647.97;-1389044856;10310699.42;11286471.54;7180138134;9679380452;1
1474767329;5001991384;9200074332;3750966992;;;1669225297;;350658154;2492126825;-17950936.32;-2330462755;2437514499;2423623701;1154761106;1118284862;1
;12807108.88;32100064.76;5223897056;28546489930000000;7483738589;46803209.64;1890408995;1853456019;14851468730000000;4854612164;-4419096949;218919115.8;400305612.1;34254230.64;24155660.06;1
6579042182;;39213763.86;3240925439;1790715788;8857199.57;33813685160000000;62065807810000000;15122857019999900;9771284496;-12535280.64;-2516317537;29960777.22;3685098062;5969217075;4289548091;1
3485434725;548341485;1299179055;5396643894;9440019362;-1789542229;9578440009;1042916186;;4967266.33;-5885437212;4355895469;6421749469;21679960530000000;1324290807;31407439710000000;1
158297795;8396662483;2709175768;;6188741724;-6530360407;2613991687;842713357;1398050527;786103593;-1386936406;5633620794;13285969.91;;;4811423235;1
6355732533;;2610660609;3034598646;2292334.47;-7061423052;6608496707;152175011;2392799433;9087916444;-1018528199;10210987790000000;25258024.32;6076935403;2310874131;5519082239;1
1294425879;10469804909999900;1831858254;49628302619999900;6036632393;3367707367;3201168328;;359898311;3171412317;-17145455.44;;4872625297;2110279035;1368426939;;1
6011311671;34125332610000000;2332548158;5358069083000000;2491693554;-6003758957;6281680183999990;403892659;7483430449;14552786.29;;7999741345;27770195.69;18916367.64;4672728661;5801814716;1
;;3673960389;1268632724;6914852419;;696554.98;7810099279;324858583;;-5125174728;6261712685;15863985.27;4317357.82;26861074280000000;40605785810000000;1
1246019641;1941444647;1834790574;3595112591;6680562563;8398003088;;3484000398;3420614773;;-20541913.89;;11977172.84;3816077785;;4641821613;1
;10570345.98;23852324.26;12376126800000000;5559160118;7475960913;25209410.22;5662659885;9587254099;6756795977000000;1372169101;-2766821152;35799185.38;;26883477.45;21181600.05;1
6451957006;;15460734409999900;2172360685;2788393705;-19339958869999900;7865646035;4822431384;32928718789999900;5766649381;;;9431080456;10125888.37;8482714688;;1
9716359467;;;1742069852;5849185995;59399061110000000;11253949.37;2185524497;2631638004;6568223325;5771131536;-5664808492000000;;11411200.09;;6106785802;1
3682102858;10846856.66;3412679857;6836164848;3455089696;4233991912;15656663.77;1290764692;5910686493;3716680749;-4367727308999990;;29381979.75;16932057.26;;18545320.38;1
1346947375;5127369973;17628495459999900;1252085779;9939675643;5723483194;;2006548752;50033076539999900;;;;28023052.98;11913183.99;11557534.18;;1
1599492458;31492239.79;;4272058205;40405112189999900;-9422200426;31964246.38;8397688755;4415010.54;1884180382;19321122.25;-1960434711;303520409.6;154736265.2;21401181.32;23280950.14;1
33765344080000000;23813054.4;35841763.79;1249002762;;32266077660000000;50475073.82;2459669133;15762954.05;;6661607.36;-6992223109;97402678.94;565704551.7;10342471.51;15312989.59;1
1502370517;36904085.63;60696654.45;40655174510000000;1495228439;8110173073;;7290169354;4576307621;8397237146;1126507105;-4378911635;156364607.9;404446656.8;43016058.99;42427924.89;1
;7821563279;90839848;;6888069625;;2860521914;;1063437741;3573300539;-7621761265;2608311805;8014782669;8221536356000000;3090061992;3851491222;1
3332549015;;15279511.17;1358187305;9025838865;6796660527000000;7182156012;1303220373;6646043664;31589483219999900;4751606974;-1720389737;;31678060.63;4762427391;13777361.22;1
;74115507;;34019027530000000;2094624941;8574533501;28938754460000000;2888543143;5245808534000000;1113082938;;5043185725;5985426116;6360218758;;8060660515;1
;;36870651.85;6870462148;128347281;8773662433;19583595.83;1507355793;5299204231;;-19898645890000000;-6822773085;23807508.79;14470944.61;4482280.73;8220156067000000;1
;15894248.47;5202012281;3951624104;7652983665;5730725035;20268244.6;3736680206;3938962756;4093889.24;36115966780000000;-1427211813;53290337.95;27134144.64;9728379336000000;;1
3331259624;11708528.43;18827377.47;8824666869;421947915;6512368161;26877941.42;4392446145;4945569772;1921164996;6741736851;-5879792993;55430564.87;58990919.92;;;1
8269278570000000;18216147.35;4161713905;1037917935;1414740927;-3387162563;9388726351;2899631389;;3713218785;15822045.36;;156252736.8;28783442.71;14088161.36;23581012.67;1
1807838496;;28413813.5;26135057.52;8055283384;3625700776;130288643.3;3081696.76;18918948.56;8323482016;;;;203272158.9;48387276.43;29345218.83;1
2402466304;;;1469527568;142127231;8418042832999990;22499770.7;3901226156;2634403.5;;-2256753795;-4533432865;16211594.44;;5272612268;9641812774;1
3268397952;30516808.93;7935800235;3411101673;1266971893;2668960324;35607888.25;4855173943;1544000267;3898956137;18563287.18;-2299250371;198406019.5;35463984.39;;20735036.45;1
;16787488180000000;6530236529;9351356915;;-4971300769;1116516116;5947774192000000;1406627392;3652243361;32674391319999900;-2271653.66;20668852.36;14219206.84;2104317202;1643523.55;1
4585200213;2882848202;3260926.45;1651004679;;3893878.17;8984728101;2198701179;1182897886;9079703559;-6958184515;-1130793206;;15445452.87;;;1
;4406923193;4052899513;7711610387;5040274834;;3133861903;1907643344;;2749047105;-5982104528;-5833708793;10524421.65;24588295.02;6376249782000000;;1
498755.15;3023273463;1591845697;1621791356;2951623226;5806409047;2585852954;9104534002999990;3165499571;6220809509;-17285103.33;2393773286;6985665307999990;6734723443;;6311417512999990;1
1270957371;41236061789999900;5165467553;5040359288;1347053656;-3211018983;9325274791000000;326851077;3612490222;9653448158;-2354309111;-7134034582;38485054.99;;13704053.28;15591390.16;1
1968346631;5313079258;3116899279;14157104.1;1997190793;-4222505061000000;;6146063525;1254961616;4023740206;-8885131645;-7337342683;19501925.91;73071952.68;9875454008;11090722.74;1
1843185885;;11735823.39;5232680447;14197545019999900;3966502499;19703033.01;3237890203;9857319247;;6658922429;;96198853.94;100206637.4;33726713.44;34317892.74;1
4877128175;9502263719;;1001989431;579839549;;1820180605;1307131011;;2973243418;-6614725515;-2865933405;10560675.16;52335789.03;4114662409;;1
7911651591;;39731863239999900;4723059418;;-3182283057;10932897.23;1396363266;1487889486;367231417;;-2535027.61;63260143.09;26792132.59;10266593.7;9521511953;1
6216360642;5093454727;2155082734;1124425925;6569954737;-4782918927;3742589035;3011722351;1104178409;3015231172;-6950969403;-2769278102;15263721.79;19077124.57;8009399862000000;8119169118;1
1509864792;3882165.16;7312950241;7971549879;15501935180000000;;;2769439756;9621413447;1573006575;5374429194;-9999363915;64025537.8;13451775.74;40273810889999900;5710807114;1
10067252309999900;8803743451;5043595697;1545346065;4396407072;-7761851048;;5035467472;5163724791999990;1968412725;7362107935;-3847061733;59302381.58;37374016.71;;7768322518999990;1
9396724721;28950894.04;8284791437000000;26615819159999900;;-3606095129;41877780.88;173067777;6308435702;7555377398;12001620.78;-1201608274;239131263.0;131139834.7;;36135856.49;1
8417623113;5239743.63;12213020990000000;54883124729999900;;;6505769669;9324922697999990;1636266919;535534555;17328206.34;-7903349.36;15743848.34;4941021263;1929539942;13538141469999900;1
2498113455;;8931810797000000;2296844954;1074864943;-9705405247000000;29367389639999900;1363924008;2036773297;7885168038;-2085882736;9241065412;34074013.9;16330578.47;14424673.93;15119751.31;1
10287182890000000;2926809338;3632856392;5521670924;1854975468;-9018645061;1743282715;1717075229;160763829;1944142.15;;6009585846;9373516462000000;6324274478999990;5926122876;9955935286;1
42029120689999900;2124515325;7474602297;;5367632521;7614179933999990;41011303819999900;3207948843;9179865765;7712726949;-11719187.15;-6121757675;10006849040000000;7769376384;7503294357999990;;1
1646036039;43717938.81;;;2910202291;1472165291;68526849.69;2170237085;37233443030000000;7664641821;19728549.25;-6063310292;;59888866.03;40157767.48;33810982.38;1
;39922621.33;;4797469679;6908064279;-7123196136;;2324723639;6576944324;7637760697000000;20753685.52;;170786357.8;285493470.7;24805178.62;20839982.36;1
;1471647315;11979727.47;5034681062;1950606328;6787967606000000;3987773608;;;3095099472;4057002363;-3883866462;42318043.48;;21644623680000000;29807295289999900;1
4386210917;2468939583;11002320.12;2617350866;;36777170710000000;2111308027;2008362579;2183084746;4525252183;4006670497;9527404747;122702875.6;12310906.94;12564949.97;;1
2165862247;;;6881604377;334366565;-11277977.92;39344510039999900;1259522471;2533990586;5102581365;12672426.1;-4053557138;29933185.97;20252777.34;11072386.09;11551751.42;1
7991829398999990;2242500643;1795175613;3412909488;3125816801;5307168074;3638217334;1035134558;5365162418;1635128475;3637192922;3534098596;22214942.29;6564199372;15566074.09;11289426.14;1
;10091036.82;2810345018;1063249962;1488193688;-6193584943;17248056.81;;8223925175;3322944645;-37166611739999900;8655050023;;48651728.34;35651338.9;28023756.41;1
;15441840.06;24274659.77;3583269.66;;5057658346;59659603.38;1818649515;;3384361626;10288704.23;;;;16891418.41;;1
